cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
BioVU	Cov_SAIGE_202101	iPSYCH	2012_HRC	eur	eur	1.7867	3.0775	0.5806	0.5615	0.1457	0.0151	1.0234	0.0095	-0.001	0.0057
BioVU	Cov_SAIGE_202101	iPSYCH	2015i_HRC	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	lgic2	202011	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	MDD29	0120a_rmUKBB	eur	eur	NA	NA	NA	NA	0.1151	0.0154	0.9823	0.009	-0.0062	0.006
BioVU	Cov_SAIGE_202101	MDD47	29w2_18w3_1503	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	MoBa	harvest12	eur	eur	0.7729	2.6699	0.2895	0.7722	0.053	0.0558	0.9979	0.0095	0.0027	0.0062
BioVU	Cov_SAIGE_202101	MoBa	harvest24	eur	eur	NA	NA	NA	NA	0.0151	0.08	0.9972	0.0097	0.0014	0.0063
BioVU	Cov_SAIGE_202101	MoBa	rotterdam1	eur	eur	NA	NA	NA	NA	0.0472	0.0545	1.0034	0.008	-0.0011	0.006
BioVU	Cov_SAIGE_202101	MVP	ICDdep_AllSex_202101	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BioVU	Cov_SAIGE_202101	PBK	2020	eur	eur	NA	NA	NA	NA	0.0583	0.02	0.9987	0.0064	-0.0074	0.0049
BioVU	Cov_SAIGE_202101	PGC	wray2018	eur	eur	NA	NA	NA	NA	0.0556	0.0023	1.008	0.0119	-8e-4	0.0062
BioVU	Cov_SAIGE_202101	PREFECT	run1	eur	eur	NA	NA	NA	NA	0.5404	0.093	0.9843	0.0075	-0.0067	0.005
BioVU	Cov_SAIGE_202101	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0593	0.0534	1.0134	0.0082	-0.008	0.0057
BioVU	Cov_SAIGE_202101	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0905	0.3035	0.999	0.0079	-0.0038	0.0055
BioVU	Cov_SAIGE_202101	UKBB	MD_glm_202012	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBDS	FINAL202103	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.6516	0.0781	8.3439	7.1884e-17	0.0834	0.0109	1.0012	0.0077	0.0061	0.0053
DBDS	FINAL202103	ESTBB	EstBB	eur	eur	2.0045	0.8209	2.4417	0.0146	0.0046	0.0038	1.0016	0.0074	0.0073	0.0051
DBDS	FINAL202103	EXCEED	202010	eur	eur	0.7058	0.5951	1.186	0.2356	0.1057	0.1644	1	0.0066	0.0022	0.0049
DBDS	FINAL202103	FinnGen	R5_18032020	eur	eur	0.8638	0.0813	10.6244	2.2952e-26	0.0226	0.0031	1.0481	0.0081	0.002	0.0057
DBDS	FINAL202103	GenScot	1215a	eur	eur	0.5492	0.2659	2.0651	0.0389	0.0814	0.0577	0.9969	0.0062	1e-4	0.0052
DBDS	FINAL202103	GERA	0915a_mds5	eur	eur	0.7093	0.1267	5.5994	2.1511e-8	0.0432	0.0106	0.9934	0.0074	0.0021	0.0053
DBDS	FINAL202103	HUNT	gp_all_20190625	eur	eur	0.388	0.1506	2.5763	0.01	0.0427	0.0153	1.0083	0.0067	0.0113	0.0051
DBDS	FINAL202103	HUNT	hospital_all_20190625	eur	eur	0.9168	0.1468	6.2464	4.201e-10	0.094	0.0224	0.9951	0.0069	-0.0038	0.0054
DBDS	FINAL202103	iPSYCH	2012_HRC	eur	eur	0.5626	0.0778	7.2278	4.9094e-13	0.144	0.0148	1.0264	0.0093	0.0138	0.0066
DBDS	FINAL202103	iPSYCH	2015i_HRC	eur	eur	0.6238	0.1079	5.779	7.5146e-9	0.116	0.0206	0.9965	0.0079	0.0029	0.0063
DBDS	FINAL202103	lgic2	202011	eur	eur	0.4037	0.1714	2.356	0.0185	0.1848	0.0788	0.9983	0.0069	-0.0023	0.0056
DBDS	FINAL202103	MDD29	0120a_rmUKBB	eur	eur	0.7521	0.0811	9.2685	1.887e-20	0.1147	0.0145	0.9853	0.0081	0.0056	0.0059
DBDS	FINAL202103	MDD47	29w2_18w3_1503	eur	eur	0.794	0.0762	10.4146	2.1269e-25	0.0784	0.0083	1.0079	0.0079	0.0031	0.0061
DBDS	FINAL202103	MoBa	harvest12	eur	eur	0.4373	0.3001	1.4571	0.1451	0.0572	0.0517	0.9968	0.0084	0.0043	0.0066
DBDS	FINAL202103	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBDS	FINAL202103	MoBa	rotterdam1	eur	eur	1.1501	0.8944	1.2859	0.1985	0.036	0.0546	1.006	0.008	-0.0102	0.0061
DBDS	FINAL202103	MVP	ICDdep_AllSex_202101	eur	eur	0.7381	0.0557	13.2513	4.4363e-40	0.0478	0.0034	1.0243	0.0092	0.0028	0.0062
DBDS	FINAL202103	PBK	2020	eur	eur	0.5263	0.1687	3.1202	0.0018	0.0562	0.0205	0.9998	0.0065	0.0041	0.0052
DBDS	FINAL202103	PGC	wray2018	eur	eur	0.679	0.0379	17.9277	7.1719e-72	0.056	0.0024	1.0029	0.0106	-0.0017	0.0064
DBDS	FINAL202103	PREFECT	run1	eur	eur	0.5722	0.1059	5.4012	6.6183e-8	0.533	0.1026	0.9861	0.0078	-0.0041	0.0052
DBDS	FINAL202103	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0731	0.053	1.0136	0.008	2e-4	0.0057
DBDS	FINAL202103	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0248	0.3056	0.999	0.0072	-0.0054	0.0054
